                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3226,                  2.945,                 1.6917,                0.70198,                0.16667,                0.24477,                0.17876,                 0.8105,                 3.1736,                 1.2385,                 0.0991,                 0.0001,                 0.0001
                      1,                 1.3967,                 2.9209,                 1.7591,                0.62504,                0.16667,                0.26108,                0.18333,                0.82402,                 3.1549,                 1.2508,               0.097299,             0.00029851,             0.00029851
                      2,                 1.2898,                 2.8333,                 1.7306,                0.97964,                0.11111,                 0.2738,                0.18348,                0.84078,                 3.1292,                 1.2622,               0.095495,             0.00049505,             0.00049505
                      3,                 1.3481,                 2.7361,                 1.7749,                0.20864,                0.32845,                0.46508,                  0.365,                0.80102,                  2.654,                  1.183,                0.09369,              0.0006896,              0.0006896
                      4,                 1.2672,                 2.3739,                  1.598,                0.69809,                0.62222,                0.73324,                0.57928,                0.78804,                 1.9429,                 1.1737,               0.091882,             0.00088218,             0.00088218
                      5,                 1.1913,                  1.905,                 1.5951,                0.66942,                0.71771,                0.76018,                0.59012,                0.78865,                 1.8141,                 1.1915,               0.090073,              0.0010728,              0.0010728
                      6,                 1.2235,                 1.8106,                 1.6636,                0.75407,                0.67778,                0.77722,                0.60873,                0.76563,                 1.6483,                 1.1661,               0.088261,              0.0012614,              0.0012614
                      7,                 1.0921,                 1.4657,                 1.4918,                0.73003,                0.84444,                0.81045,                0.62627,                0.74705,                 1.3564,                 1.1464,               0.086448,               0.001448,               0.001448
                      8,                 1.0653,                 1.5037,                 1.4338,                0.89331,                 0.8343,                0.85164,                0.61277,                0.73514,                  1.302,                 1.1527,               0.084633,              0.0016327,              0.0016327
                      9,                 1.0517,                 1.3579,                 1.4844,                0.79898,                0.89497,                0.85226,                0.66074,                0.68659,                 1.2159,                 1.1241,               0.082815,              0.0018154,              0.0018154
                     10,                0.97896,                 1.1073,                 1.3973,                0.90039,                0.89651,                0.87885,                 0.7225,                0.70663,                0.94332,                 1.1259,               0.080996,               0.001996,               0.001996
                     11,                0.92776,                  1.041,                 1.3756,                0.84374,                0.79444,                0.85262,                0.65344,                0.76814,                0.97402,                 1.1839,               0.079175,              0.0021748,              0.0021748
                     12,                0.91342,                 1.0217,                 1.3079,                0.82325,                0.88471,                    0.9,                0.68036,                0.71796,                0.77499,                 1.1474,               0.077352,              0.0023515,              0.0023515
                     13,                0.83052,                0.94069,                 1.2705,                0.78047,                0.83889,                0.86845,                0.65625,                0.72977,                0.85267,                 1.1432,               0.075526,              0.0025263,              0.0025263
                     14,                0.86264,                0.89134,                 1.2944,                0.81651,                   0.95,                0.88406,                 0.6771,                0.76693,                0.78342,                 1.1859,               0.073699,               0.002699,               0.002699
                     15,                0.86358,                0.86257,                 1.3132,                0.85751,                   0.95,                0.91941,                0.71241,                0.69836,                0.76757,                 1.1177,                0.07187,              0.0028698,              0.0028698
                     16,                0.76672,                0.82031,                 1.2422,                0.94175,                0.92246,                0.91833,                0.74404,                0.67789,                 0.7096,                 1.0968,               0.070039,              0.0030386,              0.0030386
                     17,                0.82913,                0.77281,                 1.2843,                0.94922,                0.89056,                0.91488,                0.73449,                 0.7222,                 0.8196,                  1.124,               0.068205,              0.0032055,              0.0032055
                     18,                0.81756,                0.74932,                 1.2631,                0.94119,                0.93386,                0.94876,                0.72838,                0.80786,                0.71572,                 1.2098,                0.06637,              0.0033703,              0.0033703
                     19,                0.80182,                0.73007,                 1.2552,                0.99168,                0.92256,                0.95235,                0.75633,                0.71299,                0.69202,                 1.1359,               0.064533,              0.0035332,              0.0035332
                     20,                0.72384,                 0.6792,                 1.2016,                0.89967,                0.93189,                0.93262,                0.70276,                0.74711,                0.82737,                 1.1524,               0.062694,              0.0036941,              0.0036941
                     21,                0.67521,                0.57632,                 1.1322,                0.87841,                   0.95,                0.94543,                0.69182,                0.74559,                0.90432,                 1.1696,               0.060853,               0.003853,               0.003853
                     22,                0.75825,                0.65947,                  1.243,                 0.9851,                   0.95,                0.94585,                 0.6967,                0.81674,                0.88002,                 1.2534,                0.05901,              0.0040099,              0.0040099
                     23,                0.68224,                0.69726,                 1.1389,                 0.8248,                0.91916,                0.93144,                 0.7274,                0.76532,                0.82602,                 1.2203,               0.057165,              0.0041649,              0.0041649
                     24,                0.72594,                0.71712,                 1.1955,                      1,                0.93411,                0.95269,                0.69935,                0.84669,                0.71133,                 1.2787,               0.055318,              0.0043179,              0.0043179
                     25,                0.69227,                0.67921,                 1.1844,                0.98957,                   0.95,                0.95377,                0.70323,                0.88932,                 0.7213,                 1.3344,               0.053469,              0.0044689,              0.0044689
                     26,                0.69648,                 0.6004,                  1.165,                 0.9761,                  0.943,                0.95611,                  0.697,                0.86994,                0.75214,                 1.3076,               0.051618,              0.0046179,              0.0046179
                     27,                0.66401,                0.65347,                 1.1662,                0.92046,                0.89444,                0.93441,                0.69738,                0.81642,                0.74783,                 1.2431,               0.049765,              0.0047649,              0.0047649
                     28,                0.69886,                0.61662,                 1.1806,                0.92088,                 0.9435,                0.96331,                0.63818,                 0.9568,                0.79435,                 1.4176,                0.04791,                0.00491,                0.00491
                     29,                0.68461,                0.58933,                 1.1669,                0.96691,                0.89051,                0.95864,                0.63809,                0.99703,                0.82346,                 1.4339,               0.046053,              0.0050531,              0.0050531
                     30,                0.61434,                0.55808,                 1.1029,                0.87418,                    0.9,                0.92398,                0.59737,                 1.2151,                0.89605,                 1.6613,               0.044194,              0.0051941,              0.0051941
                     31,                0.64584,                0.61733,                 1.1431,                0.90684,                 0.8357,                 0.9075,                0.61115,                 1.0372,                0.87615,                 1.4901,               0.042333,              0.0053333,              0.0053333
                     32,                0.67371,                0.60915,                 1.1274,                0.88173,                0.84444,                0.88919,                0.59192,                0.95538,                 1.0392,                 1.4205,                0.04047,              0.0054704,              0.0054704
                     33,                0.76046,                0.65273,                 1.2151,                0.87887,                0.84168,                0.84527,                0.57054,                  1.099,                  1.074,                 1.4633,               0.038606,              0.0056056,              0.0056056
                     34,                0.72439,                0.66247,                 1.2209,                0.88205,                0.84444,                 0.8723,                0.58945,                 1.0482,                0.99191,                 1.3951,               0.036739,              0.0057387,              0.0057387
                     35,                0.63787,                0.55974,                 1.1035,                0.84325,                0.81983,                0.84425,                0.57157,                 1.0154,                0.99417,                 1.3598,                0.03487,              0.0058699,              0.0058699
                     36,                0.62013,                0.56893,                  1.067,                0.83192,                0.82786,                0.87318,                0.61702,                0.95484,                0.91921,                 1.3042,               0.032999,              0.0059991,              0.0059991
                     37,                0.62605,                0.63879,                 1.0849,                0.85887,                0.83889,                 0.8572,                0.60015,                 1.0931,                 1.0198,                 1.4866,               0.031126,              0.0061264,              0.0061264
                     38,                0.60216,                0.54596,                 1.0764,                0.84622,                0.78333,                0.83817,                0.56245,                 1.0917,                 1.0598,                  1.475,               0.029252,              0.0062516,              0.0062516
                     39,                0.63816,                0.58516,                 1.0982,                0.87188,                0.78889,                0.87245,                0.56233,                 1.0341,                  1.172,                  1.423,               0.027375,              0.0063749,              0.0063749
                     40,                0.66565,                0.57905,                 1.1153,                0.88067,                0.78055,                0.89662,                 0.6509,                0.84154,                0.86856,                 1.1846,               0.025496,              0.0064962,              0.0064962
                     41,                0.59428,                0.56868,                 1.0881,                0.68035,                0.84444,                0.86072,                0.60669,                0.99273,                 1.0858,                 1.3705,               0.023616,              0.0066155,              0.0066155
                     42,                0.60797,                 0.6018,                 1.0995,                0.88796,                0.59715,                0.74593,                0.51014,                 1.2061,                 1.2374,                 1.6065,               0.021733,              0.0067329,              0.0067329
                     43,                0.59926,                0.58239,                  1.071,                0.74225,                0.73333,                0.77024,                 0.5128,                 1.2293,                 1.3403,                 1.5921,               0.019848,              0.0068482,              0.0068482
                     44,                0.56177,                0.54973,                 1.0767,                0.89515,                0.73333,                0.81242,                 0.6077,                 1.1444,                0.95042,                 1.5239,               0.017962,              0.0069616,              0.0069616
                     45,                0.62106,                0.52504,                 1.0713,                0.66237,                0.81676,                0.77699,                0.55835,                 1.1542,                0.85158,                 1.5515,               0.016073,               0.007073,               0.007073
                     46,                0.63249,                0.53806,                 1.0943,                0.82502,                0.78222,                0.82881,                0.54184,                 1.1661,                0.99393,                 1.5911,               0.014182,              0.0071824,              0.0071824
                     47,                0.71138,                0.60689,                 1.1444,                 0.8379,                0.73826,                0.82436,                0.62393,                0.94508,                0.83091,                 1.4171,                0.01229,              0.0072898,              0.0072898
                     48,                0.59696,                 0.5028,                 1.0765,                 0.8695,                0.67519,                0.79559,                0.56316,                 1.2163,                 1.1342,                  1.785,               0.010395,              0.0073953,              0.0073953
                     49,                0.70337,                0.59409,                 1.1718,                0.78661,                   0.95,                0.89535,                0.60796,                 1.0965,                0.86958,                 1.5257,              0.0084988,              0.0074988,              0.0074988
                     50,                0.66585,                0.64049,                 1.1561,                0.85206,                0.93101,                0.94927,                0.69641,                0.99665,                 0.7148,                 1.4662,               0.007525,               0.007525,               0.007525
                     51,                0.64801,                0.57336,                 1.1195,                0.89937,                   0.95,                0.93138,                0.67218,                 1.0424,                0.81379,                 1.4959,               0.007525,               0.007525,               0.007525
                     52,                0.63774,                0.59735,                 1.0924,                0.80354,                0.84444,                0.90649,                0.67057,                0.99862,                0.84723,                 1.4118,              0.0074755,              0.0074755,              0.0074755
                     53,                0.66907,                0.60146,                 1.1625,                0.76756,                   0.95,                0.86572,                0.64866,                0.91733,                0.85508,                 1.3904,               0.007426,               0.007426,               0.007426
                     54,                0.71344,                 0.6215,                 1.1667,                0.72976,                0.87872,                0.84043,                0.60928,                0.99306,                 1.0011,                 1.3814,              0.0073765,              0.0073765,              0.0073765
                     55,                0.61115,                0.55699,                 1.0902,                0.80429,                 0.8886,                0.84631,                0.62641,                 1.0087,                 1.0192,                 1.5469,               0.007327,               0.007327,               0.007327
                     56,                0.65093,                0.58561,                 1.1047,                0.86927,                0.77724,                0.86253,                0.62667,                 1.0232,                0.92568,                  1.488,              0.0072775,              0.0072775,              0.0072775
                     57,                0.66172,                0.63106,                 1.1162,                0.74984,                0.82842,                0.82926,                0.56536,                 1.0688,                0.97441,                 1.5357,               0.007228,               0.007228,               0.007228
                     58,                0.62237,                 0.5685,                  1.067,                0.82939,                0.73333,                0.86464,                0.57884,                 1.0118,                 1.0967,                 1.4365,              0.0071785,              0.0071785,              0.0071785
                     59,                0.63121,                0.56236,                 1.0892,                0.86649,                0.73333,                 0.8281,                0.58799,                 1.0434,                 1.0795,                 1.4644,               0.007129,               0.007129,               0.007129
                     60,                 0.5912,                0.59656,                 1.0833,                0.66227,                0.73889,                 0.7035,                0.43542,                 1.0901,                 1.5221,                 1.4019,              0.0070795,              0.0070795,              0.0070795
                     61,                0.62648,                 0.5416,                 1.0857,                0.83579,                0.67778,                0.69361,                 0.4057,                 1.3893,                 1.7433,                 1.7618,                0.00703,                0.00703,                0.00703
                     62,                0.59585,                0.55624,                 1.0577,                0.60624,                0.56667,                0.57148,                 0.2853,                 1.6601,                 2.6635,                 2.0669,              0.0069805,              0.0069805,              0.0069805
                     63,                0.58184,                0.52703,                 1.0222,                0.56326,                0.78889,                0.66741,                0.41062,                  1.448,                 2.0273,                 2.0104,               0.006931,               0.006931,               0.006931
                     64,                0.62404,                0.55736,                 1.1098,                0.70288,                0.83436,                0.78871,                0.52212,                 1.1721,                 1.3759,                 1.6703,              0.0068815,              0.0068815,              0.0068815
                     65,                0.62801,                0.51853,                 1.0889,                0.71013,                   0.75,                0.71517,                0.47703,                 1.3151,                 1.7339,                 1.9001,               0.006832,               0.006832,               0.006832
                     66,                0.61575,                 0.5841,                 1.0802,                 0.7919,                0.89081,                0.87866,                0.62028,                 0.9955,                 1.1683,                 1.5189,              0.0067825,              0.0067825,              0.0067825
                     67,                0.64978,                0.59449,                 1.1283,                0.83388,                    0.9,                0.86422,                0.58804,                 1.1655,                 1.2813,                 1.7212,               0.006733,               0.006733,               0.006733
                     68,                0.61402,                0.59874,                 1.0744,                0.84513,                0.84444,                0.89345,                0.68326,                 1.0144,                 1.1813,                 1.5999,              0.0066835,              0.0066835,              0.0066835
                     69,                0.63206,                0.57087,                 1.0804,                0.87786,                0.73889,                0.81502,                0.59146,                 1.0962,                 1.0889,                 1.6645,               0.006634,               0.006634,               0.006634
                     70,                0.60618,                0.57849,                 1.0623,                0.75484,                0.63333,                0.66032,                0.47627,                 1.2594,                 1.5298,                 1.7902,              0.0065845,              0.0065845,              0.0065845
                     71,                0.64249,                0.58875,                 1.0895,                0.77335,                0.63732,                 0.7193,                 0.5196,                 1.1595,                 1.5306,                 1.6863,               0.006535,               0.006535,               0.006535
                     72,                0.61812,                0.55944,                 1.0822,                0.73932,                0.63889,                0.63963,                 0.4853,                 1.2122,                 1.7415,                 1.7776,              0.0064855,              0.0064855,              0.0064855
                     73,                0.66368,                0.60494,                  1.123,                0.56404,                0.72639,                0.64247,                0.48961,                 1.2573,                 1.9288,                  1.913,               0.006436,               0.006436,               0.006436
                     74,                0.64256,                0.59772,                 1.1218,                0.60751,                0.68889,                0.68436,                0.49683,                 1.1079,                 1.8407,                 1.7352,              0.0063865,              0.0063865,              0.0063865
                     75,                0.68125,                0.67158,                 1.1609,                0.67701,                0.76959,                0.71048,                0.50068,                 1.1193,                 1.4137,                 1.6719,               0.006337,               0.006337,               0.006337
                     76,                0.53649,                 0.5011,                 1.0096,                0.76628,                0.73889,                0.84984,                0.55037,                 1.1329,                 1.0617,                 1.7096,              0.0062875,              0.0062875,              0.0062875
                     77,                0.68244,                 0.6319,                 1.1195,                0.87655,                0.79419,                0.87437,                0.53933,                 1.4027,                0.97459,                 1.8807,               0.006238,               0.006238,               0.006238
                     78,                 0.6581,                0.66122,                 1.0941,                0.87658,                0.65413,                0.78547,                0.48674,                  1.285,                    1.3,                 1.7443,              0.0061885,              0.0061885,              0.0061885
                     79,                0.61205,                0.56614,                 1.0826,                0.67697,                0.88791,                 0.8056,                0.51073,                 1.1856,                 1.2944,                 1.6291,               0.006139,               0.006139,               0.006139
                     80,                0.67511,                0.56963,                 1.1419,                0.78551,                0.77937,                0.76435,                0.44577,                 1.2733,                 1.5503,                 1.7576,              0.0060895,              0.0060895,              0.0060895
                     81,                0.60008,                0.55427,                 1.0564,                0.78677,                0.83331,                0.82155,                0.48588,                 1.2566,                 1.5608,                 1.7679,                0.00604,                0.00604,                0.00604
                     82,                0.56363,                0.49898,                  1.056,                0.62286,                0.78889,                0.71887,                 0.4879,                 1.2916,                    1.7,                 1.8059,              0.0059905,              0.0059905,              0.0059905
                     83,                0.67038,                0.57076,                 1.1162,                 0.7935,                0.89526,                 0.8663,                0.51247,                 1.3082,                 1.4499,                 1.7723,               0.005941,               0.005941,               0.005941
                     84,                0.68948,                0.61005,                 1.1146,                0.75269,                0.82614,                0.78312,                0.47689,                  1.354,                 1.1997,                 1.8591,              0.0058915,              0.0058915,              0.0058915
                     85,                0.59426,                0.55182,                 1.0621,                0.72545,                0.84444,                0.80451,                0.48379,                 1.2697,                 1.5371,                 1.8754,               0.005842,               0.005842,               0.005842
                     86,                0.56083,                0.51559,                 1.0303,                0.79944,                0.83889,                0.86202,                0.56615,                 1.1946,                 1.1732,                 1.7365,              0.0057925,              0.0057925,              0.0057925
                     87,                0.61506,                0.60234,                 1.0958,                0.91899,                0.89444,                0.92039,                0.62335,                 1.1742,                0.99931,                 1.6903,               0.005743,               0.005743,               0.005743
                     88,                0.61341,                0.57076,                 1.1294,                0.91032,                0.94386,                0.94813,                 0.6466,                 1.1236,                0.83334,                 1.6393,              0.0056935,              0.0056935,              0.0056935
                     89,                0.52406,                 0.4537,                 1.0346,                0.75234,                 0.9425,                0.90569,                0.64034,                 1.1895,                 1.0071,                 1.7238,               0.005644,               0.005644,               0.005644
                     90,                0.53487,                0.51718,                 1.0838,                 0.8358,                0.84687,                 0.8837,                0.58776,                 1.2439,                 1.0407,                 1.8455,              0.0055945,              0.0055945,              0.0055945
                     91,                0.56804,                0.46378,                  1.039,                0.76875,                0.83676,                0.79813,                0.53031,                 1.1749,                 1.1856,                  1.779,               0.005545,               0.005545,               0.005545
                     92,                0.62346,                0.49606,                 1.1201,                0.71285,                0.89444,                0.79163,                0.52044,                 1.1728,                 1.1422,                 1.7923,              0.0054955,              0.0054955,              0.0054955
                     93,                0.50457,                0.45734,                 1.0208,                0.72161,                0.73333,                0.78633,                0.51024,                 1.1566,                  1.152,                 1.7896,               0.005446,               0.005446,               0.005446
                     94,                0.52386,                0.45193,                  1.027,                0.70894,                0.88537,                0.86693,                0.53915,                 1.2524,                 1.1739,                 1.8721,              0.0053965,              0.0053965,              0.0053965
                     95,                0.61291,                0.50369,                 1.1246,                0.71901,                0.72074,                0.74715,                0.50394,                 1.2908,                 1.2635,                 1.9236,               0.005347,               0.005347,               0.005347
                     96,                0.55579,                0.48884,                 1.0783,                0.90565,                0.78835,                0.89268,                0.58351,                 1.1937,                 1.2043,                 1.8126,              0.0052975,              0.0052975,              0.0052975
                     97,                0.54919,                0.44003,                 1.0442,                0.80239,                0.94094,                0.92356,                0.60335,                  1.163,                 1.0794,                 1.7925,               0.005248,               0.005248,               0.005248
                     98,                0.54293,                0.47142,                 1.0583,                  0.781,                0.84444,                0.84885,                0.59611,                 1.0443,                 1.0586,                 1.6632,              0.0051985,              0.0051985,              0.0051985
                     99,                0.60761,                0.50679,                 1.1277,                  0.883,                0.84176,                0.90218,                0.66305,                0.93839,                0.80307,                 1.5655,               0.005149,               0.005149,               0.005149
                    100,                0.54172,                0.47919,                 1.0368,                0.74696,                0.89444,                0.87093,                0.64542,                0.99251,                0.83397,                 1.5969,              0.0050995,              0.0050995,              0.0050995
                    101,                0.57578,                0.54355,                 1.0848,                0.73265,                 0.8566,                0.83266,                0.61113,                 1.0135,                0.84692,                 1.5775,                0.00505,                0.00505,                0.00505
                    102,                0.55691,                 0.4718,                 1.0567,                0.76993,                0.78806,                 0.8467,                0.60351,                 1.0028,                 0.9688,                 1.5331,              0.0050005,              0.0050005,              0.0050005
                    103,                0.50402,                0.45658,                 1.0079,                0.78965,                0.89309,                0.86226,                0.61166,                 1.0605,                0.91367,                 1.5703,               0.004951,               0.004951,               0.004951
                    104,                 0.5161,                 0.4638,                 1.0107,                0.83772,                0.78333,                0.84778,                0.58833,                 1.0749,                 1.0103,                 1.5642,              0.0049015,              0.0049015,              0.0049015
                    105,                0.49956,                0.44554,                   1.01,                0.76015,                0.83889,                0.83969,                0.57327,                  1.045,                 1.0712,                 1.5153,               0.004852,               0.004852,               0.004852
                    106,                0.50902,                0.45545,                 1.0151,                0.87604,                0.77079,                0.82844,                0.54616,                 1.1364,                 1.1671,                 1.5836,              0.0048025,              0.0048025,              0.0048025
                    107,                0.52492,                0.49169,                 1.0486,                0.87402,                0.78333,                0.84354,                 0.5577,                 1.2259,                 1.1676,                  1.764,               0.004753,               0.004753,               0.004753
                    108,                 0.5269,                0.44842,                 1.0404,                0.82278,                0.78333,                0.84311,                 0.5659,                 1.1737,                 1.2187,                 1.8057,              0.0047035,              0.0047035,              0.0047035
                    109,                0.55175,                 0.4887,                 1.0767,                0.89064,                0.73333,                0.86062,                0.58072,                 1.1929,                  1.049,                 1.9122,               0.004654,               0.004654,               0.004654
                    110,                0.54944,                 0.4954,                 1.0635,                0.80272,                0.83367,                0.84965,                0.57322,                 1.1914,                 1.1242,                 1.8926,              0.0046045,              0.0046045,              0.0046045
                    111,                 0.5106,                0.42838,                 1.0295,                0.74877,                0.83889,                0.84179,                0.57679,                  1.216,                 1.1704,                 1.8483,               0.004555,               0.004555,               0.004555
                    112,                0.52145,                0.42384,                 1.0145,                0.81689,                0.78333,                0.85235,                0.56646,                 1.2239,                 1.0811,                 1.8786,              0.0045055,              0.0045055,              0.0045055
                    113,                0.49291,                0.43784,                 1.0102,                0.77404,                0.93921,                0.94982,                0.59912,                 1.3258,                0.93011,                 1.9362,               0.004456,               0.004456,               0.004456
                    114,                0.50818,                0.41663,                 1.0022,                0.89172,                0.82654,                 0.9502,                0.64646,                 1.1486,                0.76608,                 1.7032,              0.0044065,              0.0044065,              0.0044065
                    115,                0.50153,                0.42938,                 1.0327,                0.94991,                0.94318,                0.97125,                0.66218,                 1.0968,                0.67898,                 1.6624,               0.004357,               0.004357,               0.004357
                    116,                0.49778,                0.45129,                 1.0393,                0.93738,                0.89444,                0.96391,                0.66735,                 1.2323,                0.71481,                 1.7311,              0.0043075,              0.0043075,              0.0043075
                    117,                0.47582,                0.42707,                 1.0163,                0.92955,                0.84444,                0.96125,                0.65301,                 1.2635,                0.71077,                 1.7414,               0.004258,               0.004258,               0.004258
                    118,                0.45499,                0.38406,                 0.9931,                0.90632,                0.84444,                0.93181,                0.63618,                 1.0752,                0.71478,                 1.5551,              0.0042085,              0.0042085,              0.0042085
                    119,                0.54639,                 0.4646,                 1.0457,                0.82624,                0.84444,                0.89855,                0.61648,                 1.0589,                0.73472,                 1.5639,               0.004159,               0.004159,               0.004159
